Ignoring roster for [Chungnam] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [蕭碩呈牛比牛逼] in competition [2022 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [骨灰飯堂] in competition [2022 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Kyrgyzstan (National Team)] in competition [2022 Asian Games/South Asia Qualifier] as RL and R not equal: ['Pawa', 'Rflower', 'Loren', 'Fn1ks1', 'Lotus (Aisarakunov Emir)', 'Deadars'] | ['Top', 'Mid', 'Jungle', 'Bot', 'Support']
Ignoring roster for [Bahrain (National Team)] in competition [2022 Asian Games/West Asia Qualifier] as RL and R not equal: ['Fun (Ali Ahmed)', 'Voodoo (Alarab Mohamed)', 'Dynamo', 'Panda (Mahdi Mahmood)', 'Ownder', 'Gaashie'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Oman (National Team)] in competition [2022 Asian Games/West Asia Qualifier] as RL and R not equal: ['S Plus', 'Master (Ghassan Al-Battashi)', 'Omani 1v9', 'Eazy E', 'Jank002', 'Gyaaaat'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeonnam] in competition [2022 KeG Championship] as RL and R not equal: ['Find Team', '금방 따라갈꺼야', '뿌엥뿌엔', '사람은비참해져'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [NMH] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['zezuse', '조시커', 'veria', '어쩌라고', 'haker'] | 
Ignoring roster for [Nongshim RedForce Academy] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['조성휘', '윤장현', '유영우', '루b', '아아아'] | 
Ignoring roster for [OXPC] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['decky1', '선재', '김현민', '바위게주라고', 'cjmomo'] | 
Ignoring roster for [SGA BLUE] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['쪼물쪼물낙지', '개륑', '양도건', '보라동테디', '제라오'] | 
Ignoring roster for [SGA Orange] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['pioip', '헨수', '리쉬하기싫은사람', 'wo5438', 'Ktkdrbs'] | 
Ignoring roster for [SGA 상우명승재] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['한재희', '유승훈', '진우성', '유명환', '상민'] | 
Ignoring roster for [SGA 임] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['임세완', 'mdkg', 'suhyun12', 'lhm11290', '황승준'] | 
Ignoring roster for [Shadow GT] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['tod', 'Tremor', '뱍준석', 'Hervy', 'Winard'] | ['Mid', 'Support']
Ignoring roster for [게임과학고등학교] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['마준', '벌꿀오소리', '마지막시작', '120302', '노력하는너구리'] | 
Ignoring roster for [명문순천] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['ooje0304', '소우제', '문창준', 'KATA', '123123'] | 
Ignoring roster for [서민드] in competition [2022 KeG Championship/Qualifiers/Jeonbuk] as RL and R not equal: ['ooje0304', '소우제', '문창준', 'KATA', '123123'] | 
Ignoring roster for [彰化加油站員工] in competition [2023 Asia Esports Championship/Blue Magpie Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [獎金獵人] in competition [2023 Asia Esports Championship/Blue Magpie Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [我們會復合嗎] in competition [2023 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [燒逼視尼] in competition [2023 Asia Esports Championship/Leopard Cat Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [不如原神] in competition [2023 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [阿巴的狗窩雨軒別生氣] in competition [2023 Asia Esports Championship/Pangolin Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [海專皇茗薑母鴨] in competition [2023 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [煙雨閣] in competition [2023 Asia Esports Championship/Sika Deer Open Qualifiers] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Chungnam] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Daegu] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Daejeon] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gangwon] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gwangju] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gyeongbuk] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gyeonggi] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Gyeongnam] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeju] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Jeonnam] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Ulsan] in competition [2023 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team Dynasty (Season Kickoff EMEA)] in competition [2023 Season Kickoff/EMEA] as RL and R not equal: ['Rekkles', 'Trymbi', 'Exakick', 'Evi', 'Finn'] | 
Ignoring roster for [Team Legacy (Season Kickoff EMEA)] in competition [2023 Season Kickoff/EMEA] as RL and R not equal: ['Perkz', 'Odoamne', 'Yike', 'Sheo', 'Hylissang'] | 
Ignoring roster for [La Grellneta (Season Kickoff Latin America)] in competition [2023 Season Kickoff/Latin America] as RL and R not equal: ['Kaze (Lucas Fe)', 'Ceo', 'Grell', 'Ackerman (Gabriel Aparicio)', 'Cody'] | 
Ignoring roster for [La Tukineta (Season Kickoff Latin America)] in competition [2023 Season Kickoff/Latin America] as RL and R not equal: ['Mataz', 'Buggax', 'Aloned', 'Josedeodo', 'IgnaVilu1'] | 
Ignoring roster for [Team Levi (Season Kickoff Vietnam)] in competition [2023 Season Kickoff/Vietnam] as RL and R not equal: ['Hasmed', 'Levi', 'Artifact', 'Shogun (Nguyễn Văn Huy)', 'Palette'] | 
Ignoring roster for [Overwhelming Power] in competition [A1 eSports League Austria/2019 Season/Season 4 Qualifiers/Open Qualifier 2] as RL and R not equal: ['shaaarkY', 'Nox', 'FloyD'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [WX Clan] in competition [Aegis Champion League/2023 Season/Fall Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Pulse Star Academy] in competition [Aegis Champion League/2024 Season/Winter Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [University of California Irvine] in competition [Aegis Champion League/2024 Season/Winter Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Extreme Gaming] in competition [African Esports League/Season 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [JSK Esports] in competition [African Esports League/Season 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Knights of Bizertin Rise Black] in competition [African Esports League/Season 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Vikings E-sports (European Team)] in competition [African Esports League/Season 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [African Esports League/Season 1 Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [African Esports League/Season 1 Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [African Esports League/Season 1 Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [African Esports League/Season 1 Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [African Esports League/Season 1 Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [African Esports League/Season 1 Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [African Esports League/Season 1 Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [African Esports League/Season 1 Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [ALBicocca] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Bicocca eSports] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Colossus Esports Team] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [CRASTI Crabs] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Cyberground Vivere Ateneo] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [DarkPoroGang] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [e-Sports Sapienza] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [eIULM] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Fuoricorso] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [i Frosalenti] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Il Team Orientale di Saber] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Li Quatrani] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Mastropiatta UniPV] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [MUG - Interstellar] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [MUG Fierobecco] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [MUG Never TiltProof] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [MUG NTG] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Poliba's Team] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Politonno] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [StraightOuttaPortello] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [The Prodigies] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [UNI(n)T(orni)N(o)] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Unitn] in competition [Amazon University Esports Italia 2020] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [LAN Team] in competition [Amazon University Esports Italia 2021] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Amazon University Esports Italia 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Amazon University Esports Italia 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Amazon University Esports Italia 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Amazon University Esports Italia 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Amazon University Esports Italia 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Amazon University Esports Italia 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Amazon University Esports Italia 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Amazon University Esports Italia 2023] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Conqueror Gaming (Lebanese Team)] in competition [Arab Esports League/2021 Season/Spring] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Dragon Rage] in competition [Arab Esports League/2021 Season/Summer] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [NX5] in competition [Arab Esports League/2021 Season/Summer] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team Orgless (MENA)] in competition [Arabian League 2nd Division/2023 Season/Summer Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Arabian League/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Arabian League/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Arabian League/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [Arabian League/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [An Phat Computer] in competition [Arena of Masters/Season 1/An Phát Computer] as RL and R not equal: ['tai nang tre 24t', 'Hoàng Tâm', 'Not Real HeOpéO', 'Sh1doo', 'ze map u', 'Tú Full Tank'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
